file,lat,lon,variables,start_time,end_time
MO_TS_TG_ANTALYA.nc,36.83553695678711,30.61260986328125,"TIME_QC, SLEV, SLEV_QC",2020-11-23 23:00:00.000000000,2022-11-29 23:00:00.000000000
MO_TS_TG_Aigio.nc,38.25714111328125,22.07685089111328,"TIME_QC, SLEV, SLEV_QC",2016-12-03 05:00:00.000000000,2024-06-23 14:00:00.000000000
MO_TS_TG_BODRUM.nc,37.03105545043945,27.42477035522461,"TIME_QC, SLEV, SLEV_QC",2020-12-01 00:00:00.000000000,2022-11-25 04:00:00.000000000
MO_TS_TG_BOZYAZI.nc,36.09741973876953,32.94131088256836,"TIME_QC, SLEV, SLEV_QC",2020-12-01 00:00:00.000000000,2022-11-29 23:00:00.000000000
MO_TS_TG_COLONIA-SANT-PERE.nc,39.737300872802734,3.2733500003814697,"TIME_QC, ATMP, ATMP_QC, PRES, PRES_QC, SLEV, SLEV_QC, TEMP, TEMP_QC",2015-10-28 16:30:00.000000000,2020-02-29 23:50:00.000000256
MO_TS_TG_Hrakleio.nc,35.3484001159668,25.15254020690918,"TIME_QC, SLEV, SLEV_QC",2016-12-13 21:00:00.000000000,2024-06-23 14:00:00.000000000
MO_TS_TG_IDSL-Bodrum.nc,37.03110122680664,27.424800872802734,"TIME_QC, SLEV, SLEV_QC",2020-06-01 06:09:59.999999744,2020-06-22 21:50:00.000000000
MO_TS_TG_IDSL-Bozcaada.nc,39.83570098876953,26.075899124145508,"TIME_QC, SLEV, SLEV_QC",2021-04-01 08:00:00.000000000,2021-04-07 16:00:00.000000000
MO_TS_TG_IDSL-Cartagena.nc,37.567100524902344,-0.978958010673523,"TIME_QC, SLEV, SLEV_QC",2020-09-01 00:00:00.000000000,2020-12-15 08:00:00.000000000
MO_TS_TG_IDSL-Ceuta.nc,35.89580154418945,-5.311530113220215,"TIME_QC, SLEV, SLEV_QC",2020-08-05 12:00:00.000000000,2021-06-02 22:30:00.000000000
MO_TS_TG_IDSL-Ciutadella.nc,39.98759841918945,3.8281500339508057,"TIME_QC, SLEV, SLEV_QC",2020-11-01 00:00:00.000000000,2021-04-07 22:00:00.000000000
MO_TS_TG_IDSL-Hadera.nc,32.4723014831543,34.882598876953125,"TIME_QC, SLEV, SLEV_QC",2020-05-01 00:50:00.000000000,2020-11-15 08:00:00.000000000
MO_TS_TG_IDSL-Haifa.nc,32.8224983215332,35.00699996948242,"TIME_QC, SLEV, SLEV_QC",2020-11-01 00:00:00.000000000,2021-04-08 04:00:00.000000000
MO_TS_TG_IDSL-Imperia.nc,43.878299713134766,8.018799781799316,"TIME_QC, SLEV, SLEV_QC",2020-11-01 00:00:00.000000000,2021-04-07 15:00:00.000000000
MO_TS_TG_IDSL-Kos.nc,36.898399353027344,27.287799835205078,"TIME_QC, SLEV, SLEV_QC",2020-11-01 00:00:00.000000000,2021-04-08 04:00:00.000000000
MO_TS_TG_IDSL-KosMarina.nc,36.89099884033203,27.303600311279297,"TIME_QC, SLEV, SLEV_QC",2020-11-01 00:00:00.000000000,2021-01-05 17:00:00.000000000
MO_TS_TG_IDSL-LaMolaDeMahon.nc,39.87229919433594,4.3083600997924805,"TIME_QC, SLEV, SLEV_QC",2020-11-01 00:00:00.000000000,2021-04-07 22:00:00.000000000
MO_TS_TG_IDSL-Malta.nc,35.985801696777344,14.331899642944336,"TIME_QC, SLEV, SLEV_QC",2020-05-04 00:20:00.000000256,2020-05-31 05:10:00.000000000
MO_TS_TG_IDSL-MarinaDiTeulada.nc,38.9275016784668,8.719499588012695,"TIME_QC, SLEV, SLEV_QC",2020-05-01 00:40:00.000000000,2021-04-07 15:00:00.000000000
MO_TS_TG_IDSL-Panormos.nc,38.36000061035156,22.2539005279541,"TIME_QC, SLEV, SLEV_QC",2020-05-01 04:00:00.000000000,2021-04-07 16:00:00.000000000
MO_TS_TG_IDSL-Plomari.nc,38.971900939941406,26.3705997467041,"TIME_QC, SLEV, SLEV_QC",2020-06-01 07:09:59.999999744,2020-06-22 17:30:00.000000000
MO_TS_TG_IDSL-SaidiaMarina.nc,35.111900329589844,-2.2929399013519287,"TIME_QC, SLEV, SLEV_QC",2020-11-01 00:00:00.000000000,2021-04-07 15:00:00.000000000
MO_TS_TG_IDSL-ZygiMarina.nc,34.72629928588867,33.3401985168457,"TIME_QC, SLEV, SLEV_QC",2020-05-01 01:50:00.000000256,2021-04-08 04:00:00.000000000
MO_TS_TG_ISKENDERUN.nc,36.59423065185547,36.1767692565918,"TIME_QC, SLEV, SLEV_QC",2020-12-01 00:00:00.000000000,2021-06-30 23:00:00.000000000
MO_TS_TG_Ierapetra.nc,35.00374984741211,25.738529205322266,"TIME_QC, SLEV, SLEV_QC",2016-12-13 21:00:00.000000000,2024-06-23 14:00:00.000000000
MO_TS_TG_Itea.nc,38.43035125732422,22.422779083251953,"TIME_QC, SLEV, SLEV_QC",2016-12-13 21:00:00.000000000,2024-06-23 14:00:00.000000000
MO_TS_TG_KOPER_10minute.nc,45.54819869995117,13.724499702453613,"TIME_QC, ATMS, ATMS_QC, DRYT, DRYT_QC, SLEV, SLEV_QC, TEMP, TEMP_QC, WDIR, WDIR_QC, WSPD, WSPD_QC",2006-01-01 00:00:00.000000000,2015-12-24 23:50:00.000000256
MO_TS_TG_KOPER_60minute.nc,45.54819869995117,13.724499702453613,"TIME_QC, ATMS, ATMS_QC, DRYT, DRYT_QC, SLEV, SLEV_QC, TEMP, TEMP_QC, WDIR, WDIR_QC, WSPD, WSPD_QC",2015-12-25 00:00:00.000000000,2021-03-30 23:00:00.000000000
MO_TS_TG_Kapsali.nc,36.14289855957031,22.99934959411621,"TIME_QC, SLEV, SLEV_QC",2013-06-19 21:00:00.000000000,2022-05-11 06:00:00.000000000
MO_TS_TG_Kasos.nc,35.41859817504883,26.92184066772461,"TIME_QC, SLEV, SLEV_QC",2016-01-12 05:00:00.000000000,2024-06-23 14:00:00.000000000
MO_TS_TG_Kerkyra.nc,39.790000915527344,19.90999984741211,"TIME_QC, SLEV, SLEV_QC",2018-09-14 13:00:00.000000000,2026-02-01 01:00:00.000000000
MO_TS_TG_Koroni.nc,36.797508239746094,21.956436157226562,"TIME_QC, SLEV, SLEV_QC",2013-06-17 21:00:00.000000000,2022-05-11 06:00:00.000000000
MO_TS_TG_MARMARIS.nc,36.84867477416992,28.282264709472656,"TIME_QC, POSITION_QC, SLEV, SLEV_QC",2020-12-01 00:00:00.000000000,2022-11-28 23:00:00.000000000
MO_TS_TG_MENTES.nc,38.42768859863281,26.716642379760742,"TIME_QC, SLEV, SLEV_QC",2020-11-23 23:00:00.000000000,2022-11-25 04:00:00.000000000
MO_TS_TG_Molo-Sartorio.nc,45.64360046386719,13.753899574279785,"TIME_QC, SLEV, SLEV_QC",2015-01-01 00:00:00.000000000,2017-12-31 23:56:00.000000256
MO_TS_TG_POLLENSA.nc,39.904598236083984,3.088469982147217,"TIME_QC, ATMP, ATMP_QC, PRES, PRES_QC, SLEV, SLEV_QC, TEMP, TEMP_QC",2015-01-01 00:00:00.000000000,2022-08-27 09:00:00.000000000
MO_TS_TG_PORTO-CRISTO.nc,39.53919982910156,3.335089921951294,"TIME_QC, ATMP, ATMP_QC, PRES, PRES_QC, SLEV, SLEV_QC, TEMP, TEMP_QC",2016-03-02 00:00:00.000000000,2020-02-29 23:50:00.000000256
